,word_path,content,font,author,work_id,position
335,images/cursive/mi-fu/DP118659/23.jpg,好,cursive,mi-fu,DP118659,"[686, 446, 757, 504]"
337,images/cursive/mi-fu/DP118659/25.jpg,因,cursive,mi-fu,DP118659,"[418, 637, 489, 699]"
341,images/cursive/mi-fu/DP118659/29.jpg,玉,cursive,mi-fu,DP118659,"[770, 146, 852, 219]"
343,images/cursive/mi-fu/DP118659/31.jpg,研,cursive,mi-fu,DP118659,"[501, 474, 575, 533]"
344,images/cursive/mi-fu/DP118659/32.jpg,長,cursive,mi-fu,DP118659,"[861, 268, 941, 332]"
348,images/cursive/mi-fu/DP118659/36.jpg,時,cursive,mi-fu,DP118659,"[682, 255, 766, 329]"
350,images/cursive/mi-fu/DP118659/38.jpg,不,cursive,mi-fu,DP118659,"[683, 613, 755, 670]"
353,images/cursive/mi-fu/DP118659/41.jpg,書,cursive,mi-fu,DP118659,"[503, 612, 579, 676]"
357,images/cursive/mi-fu/DP118659/45.jpg,筆,cursive,mi-fu,DP118659,"[416, 552, 489, 629]"
360,images/cursive/mi-fu/DP118659/48.jpg,筆,cursive,mi-fu,DP118659,"[65, 339, 134, 411]"
363,images/cursive/mi-fu/DP118659/51.jpg,明,cursive,mi-fu,DP118659,"[236, 246, 314, 302]"
364,images/cursive/mi-fu/DP118659/52.jpg,觀,cursive,mi-fu,DP118659,"[237, 480, 318, 537]"
367,images/cursive/mi-fu/DP118659/55.jpg,家,cursive,mi-fu,DP118659,"[506, 135, 576, 204]"
368,images/cursive/mi-fu/DP118659/56.jpg,腕,cursive,mi-fu,DP118659,"[53, 146, 131, 213]"
369,images/cursive/mi-fu/DP118659/57.jpg,在,cursive,mi-fu,DP118659,"[854, 329, 938, 390]"
370,images/cursive/mi-fu/DP118659/58.jpg,陣,cursive,mi-fu,DP118659,"[148, 218, 226, 293]"
373,images/cursive/mi-fu/DP118659/61.jpg,都,cursive,mi-fu,DP118659,"[321, 283, 397, 360]"
374,images/cursive/mi-fu/DP118659/62.jpg,間,cursive,mi-fu,DP118659,"[505, 397, 581, 461]"
376,images/cursive/mi-fu/DP118659/64.jpg,觀,cursive,mi-fu,DP118659,"[678, 140, 759, 215]"
378,images/cursive/mi-fu/DP118659/66.jpg,作,cursive,mi-fu,DP118659,"[407, 251, 489, 305]"
381,images/cursive/mi-fu/DP118659/69.jpg,年,cursive,mi-fu,DP118659,"[500, 312, 580, 392]"
383,images/cursive/mi-fu/DP118659/71.jpg,熟、,cursive,mi-fu,DP118659,"[148, 729, 225, 803]"
387,images/cursive/mi-fu/DP118659/75.jpg,斫,cursive,mi-fu,DP118659,"[139, 145, 225, 214]"
389,images/cursive/mi-fu/DP118659/77.jpg,華,cursive,mi-fu,DP118659,"[592, 506, 668, 598]"
393,images/cursive/mi-fu/DP118659/81.jpg,神,cursive,mi-fu,DP118659,"[232, 144, 311, 229]"
398,images/cursive/mi-fu/DP118651/4.jpg,槔,cursive,mi-fu,DP118651,"[534, 164, 1234, 970]"
399,images/cursive/mi-fu/DP118651/5.jpg,復,cursive,mi-fu,DP118651,"[714, 1336, 1108, 1740]"
400,images/cursive/mi-fu/DP118651/6.jpg,夫,cursive,mi-fu,DP118651,"[1897, 590, 2398, 1088]"
401,images/cursive/mi-fu/DP118651/7.jpg,坐,cursive,mi-fu,DP118651,"[1920, 1065, 2280, 1426]"
402,images/cursive/mi-fu/DP118651/8.jpg,賤,cursive,mi-fu,DP118651,"[3297, 1377, 3716, 1766]"
403,images/cursive/mi-fu/DP118651/9.jpg,而,cursive,mi-fu,DP118651,"[1409, 187, 1752, 546]"
404,images/cursive/mi-fu/DP118651/10.jpg,添,cursive,mi-fu,DP118651,"[1313, 1074, 1811, 1577]"
405,images/cursive/mi-fu/DP118651/11.jpg,怒,cursive,mi-fu,DP118651,"[2594, 915, 3022, 1348]"
406,images/cursive/mi-fu/DP118651/12.jpg,尚,cursive,mi-fu,DP118651,"[3263, 589, 3683, 986]"
407,images/cursive/mi-fu/DP118651/13.jpg,船,cursive,mi-fu,DP118651,"[2574, 203, 3011, 660]"
408,images/cursive/mi-fu/DP118651/14.jpg,嫌,cursive,mi-fu,DP118651,"[3166, 969, 3594, 1394]"
409,images/cursive/mi-fu/DP118651/15.jpg,亦,cursive,mi-fu,DP118651,"[708, 1004, 1032, 1325]"
410,images/cursive/mi-fu/DP118651/16.jpg,怨,cursive,mi-fu,DP118651,"[1346, 633, 1692, 981]"
411,images/cursive/mi-fu/DP118651/17.jpg,視,cursive,mi-fu,DP118651,"[1978, 1405, 2379, 1780]"
412,images/cursive/mi-fu/DP118651/18.jpg,工,cursive,mi-fu,DP118651,"[2722, 653, 2954, 887]"
413,images/cursive/mi-fu/DP118651/19.jpg,闘,cursive,mi-fu,DP118651,"[2580, 1350, 3017, 1785]"
414,images/cursive/mi-fu/DP118651/20.jpg,語,cursive,mi-fu,DP118651,"[1969, 192, 2351, 581]"
415,images/cursive/mi-fu/DP118651/21.jpg,金,cursive,mi-fu,DP118651,"[3233, 153, 3730, 635]"
424,images/cursive/mi-fu/DP118650/8.jpg,雇,cursive,mi-fu,DP118650,"[532, 106, 795, 381]"
428,images/cursive/mi-fu/DP118650/12.jpg,更,cursive,mi-fu,DP118650,"[849, 558, 1090, 805]"
429,images/cursive/mi-fu/DP118650/13.jpg,尚,cursive,mi-fu,DP118650,"[258, 283, 482, 495]"
431,images/cursive/mi-fu/DP118650/15.jpg,工,cursive,mi-fu,DP118650,"[3, 312, 110, 447]"
432,images/cursive/mi-fu/DP118650/16.jpg,百,cursive,mi-fu,DP118650,"[541, 574, 778, 809]"
433,images/cursive/mi-fu/DP118650/17.jpg,賤,cursive,mi-fu,DP118650,"[281, 688, 488, 882]"
434,images/cursive/mi-fu/DP118650/18.jpg,我,cursive,mi-fu,DP118650,"[1492, 376, 1751, 646]"
436,images/cursive/mi-fu/DP118650/20.jpg,十,cursive,mi-fu,DP118650,"[1185, 108, 1359, 278]"
437,images/cursive/mi-fu/DP118650/21.jpg,五,cursive,mi-fu,DP118650,"[1153, 267, 1339, 449]"
438,images/cursive/mi-fu/DP118650/22.jpg,嫌,cursive,mi-fu,DP118650,"[223, 482, 433, 690]"
440,images/cursive/mi-fu/DP118650/24.jpg,夫,cursive,mi-fu,DP118650,"[607, 378, 780, 553]"
441,images/cursive/mi-fu/DP118650/25.jpg,金,cursive,mi-fu,DP118650,"[253, 75, 504, 317]"
447,images/cursive/mi-fu/DP118655/5.jpg,江,cursive,mi-fu,DP118655,"[561, 182, 1071, 720]"
450,images/cursive/mi-fu/DP118655/8.jpg,西,cursive,mi-fu,DP118655,"[1258, 1219, 1677, 1636]"
453,images/cursive/mi-fu/DP118655/11.jpg,無,cursive,mi-fu,DP118655,"[3215, 672, 3747, 1184]"
454,images/cursive/mi-fu/DP118655/12.jpg,岸,cursive,mi-fu,DP118655,"[2665, 163, 3263, 789]"
455,images/cursive/mi-fu/DP118655/13.jpg,汲,cursive,mi-fu,DP118655,"[2016, 1071, 2596, 1619]"
456,images/cursive/mi-fu/DP118655/14.jpg,況,cursive,mi-fu,DP118655,"[1325, 175, 1856, 682]"
457,images/cursive/mi-fu/DP118655/15.jpg,不,cursive,mi-fu,DP118655,"[2027, 118, 2529, 619]"
458,images/cursive/mi-fu/DP118655/16.jpg,彼,cursive,mi-fu,DP118655,"[1309, 680, 1783, 1147]"
459,images/cursive/mi-fu/DP118655/17.jpg,滴,cursive,mi-fu,DP118655,"[2667, 1133, 3210, 1678]"
465,images/cursive/mi-fu/DP118652/5.jpg,祐,cursive,mi-fu,DP118652,"[1586, 729, 2032, 1170]"
466,images/cursive/mi-fu/DP118652/6.jpg,口,cursive,mi-fu,DP118652,"[2975, 1564, 3205, 1768]"
467,images/cursive/mi-fu/DP118652/7.jpg,生,cursive,mi-fu,DP118652,"[2914, 1273, 3207, 1570]"
468,images/cursive/mi-fu/DP118652/8.jpg,底,cursive,mi-fu,DP118652,"[886, 725, 1382, 1245]"
469,images/cursive/mi-fu/DP118652/9.jpg,更,cursive,mi-fu,DP118652,"[927, 1254, 1380, 1704]"
470,images/cursive/mi-fu/DP118652/10.jpg,轉,cursive,mi-fu,DP118652,"[247, 597, 693, 1059]"
471,images/cursive/mi-fu/DP118652/11.jpg,粘,cursive,mi-fu,DP118652,"[819, 126, 1363, 704]"
472,images/cursive/mi-fu/DP118652/12.jpg,金,cursive,mi-fu,DP118652,"[265, 1410, 666, 1771]"
474,images/cursive/mi-fu/DP118652/14.jpg,黃,cursive,mi-fu,DP118652,"[2823, 110, 3323, 609]"
475,images/cursive/mi-fu/DP118652/15.jpg,添,cursive,mi-fu,DP118652,"[307, 1032, 746, 1464]"
476,images/cursive/mi-fu/DP118652/16.jpg,膠,cursive,mi-fu,DP118652,"[2843, 663, 3340, 1171]"
477,images/cursive/mi-fu/DP118652/17.jpg,嚥,cursive,mi-fu,DP118652,"[2165, 157, 2636, 657]"
478,images/cursive/mi-fu/DP118652/18.jpg,夫,cursive,mi-fu,DP118652,"[1566, 1168, 2051, 1655]"
479,images/cursive/mi-fu/DP118657/0.jpg,秀,cursive,mi-fu,DP118657,"[314, 381, 850, 967]"
480,images/cursive/mi-fu/DP118657/1.jpg,彥,cursive,mi-fu,DP118657,"[1009, 493, 1451, 1010]"
482,images/cursive/mi-fu/DP118657/3.jpg,一,cursive,mi-fu,DP118657,"[3184, 1284, 3730, 1745]"
483,images/cursive/mi-fu/DP118657/4.jpg,自,cursive,mi-fu,DP118657,"[1011, 1091, 1393, 1520]"
484,images/cursive/mi-fu/DP118657/5.jpg,朱砂,cursive,mi-fu,DP118657,"[1622, 402, 2155, 985]"
485,images/cursive/mi-fu/DP118657/6.jpg,何,cursive,mi-fu,DP118657,"[2326, 170, 2851, 689]"
486,images/cursive/mi-fu/DP118657/7.jpg,邦,cursive,mi-fu,DP118657,"[1626, 1060, 2169, 1638]"
487,images/cursive/mi-fu/DP118657/8.jpg,來,cursive,mi-fu,DP118657,"[3287, 708, 3804, 1236]"
488,images/cursive/mi-fu/DP118657/9.jpg,汝,cursive,mi-fu,DP118657,"[3273, 202, 3770, 696]"
489,images/cursive/mi-fu/DP118657/10.jpg,晚,cursive,mi-fu,DP118657,"[2382, 731, 2892, 1233]"
491,images/cursive/mi-fu/DP118653/1.jpg,風,cursive,mi-fu,DP118653,"[1279, 1047, 1968, 1731]"
496,images/cursive/mi-fu/DP118653/6.jpg,亦,cursive,mi-fu,DP118653,"[2160, 1159, 2408, 1387]"
497,images/cursive/mi-fu/DP118653/7.jpg,如,cursive,mi-fu,DP118653,"[246, 783, 651, 1110]"
498,images/cursive/mi-fu/DP118653/8.jpg,轉,cursive,mi-fu,DP118653,"[3294, 568, 3751, 1051]"
499,images/cursive/mi-fu/DP118653/9.jpg,叫,cursive,mi-fu,DP118653,"[810, 1290, 1160, 1662]"
500,images/cursive/mi-fu/DP118653/10.jpg,怨,cursive,mi-fu,DP118653,"[2046, 801, 2395, 1159]"
502,images/cursive/mi-fu/DP118653/12.jpg,怒,cursive,mi-fu,DP118653,"[2724, 735, 3182, 1198]"
503,images/cursive/mi-fu/DP118653/13.jpg,意,cursive,mi-fu,DP118653,"[2731, 1193, 3131, 1624]"
504,images/cursive/mi-fu/DP118653/14.jpg,不,cursive,mi-fu,DP118653,"[3331, 140, 3754, 561]"
505,images/cursive/mi-fu/DP118653/15.jpg,金,cursive,mi-fu,DP118653,"[3315, 1395, 3715, 1761]"
506,images/cursive/mi-fu/DP118653/16.jpg,噉,cursive,mi-fu,DP118653,"[225, 200, 723, 720]"
507,images/cursive/mi-fu/DP118653/17.jpg,添,cursive,mi-fu,DP118653,"[3360, 1022, 3794, 1446]"
508,images/cursive/mi-fu/DP118653/18.jpg,滿,cursive,mi-fu,DP118653,"[2051, 161, 2618, 725]"
509,images/cursive/mi-fu/DP118653/19.jpg,散,cursive,mi-fu,DP118653,"[2041, 1435, 2387, 1782]"
517,images/cursive/huang-tingjian/DP-18548-024/7.jpg,上,cursive,huang-tingjian,DP-18548-024,"[659, 1995, 930, 2167]"
526,images/cursive/huang-tingjian/DP-18548-024/16.jpg,豈,cursive,huang-tingjian,DP-18548-024,"[3257, 1894, 3513, 2153]"
528,images/cursive/huang-tingjian/DP-18548-024/18.jpg,後,cursive,huang-tingjian,DP-18548-024,"[293, 1431, 567, 1708]"
530,images/cursive/huang-tingjian/DP-18548-024/20.jpg,欺,cursive,huang-tingjian,DP-18548-024,"[2905, 1718, 3146, 1941]"
531,images/cursive/huang-tingjian/DP-18548-024/21.jpg,璧,cursive,huang-tingjian,DP-18548-024,"[2891, 1067, 3192, 1376]"
532,images/cursive/huang-tingjian/DP-18548-024/22.jpg,厚,cursive,huang-tingjian,DP-18548-024,"[3686, 1289, 3933, 1543]"
533,images/cursive/huang-tingjian/DP-18548-024/23.jpg,如,cursive,huang-tingjian,DP-18548-024,"[662, 1538, 915, 1769]"
534,images/cursive/huang-tingjian/DP-18548-024/24.jpg,見,cursive,huang-tingjian,DP-18548-024,"[2234, 1288, 2482, 1530]"
535,images/cursive/huang-tingjian/DP-18548-024/25.jpg,卒,cursive,huang-tingjian,DP-18548-024,"[2241, 772, 2495, 1043]"
537,images/cursive/huang-tingjian/DP-18548-024/27.jpg,趙,cursive,huang-tingjian,DP-18548-024,"[3259, 1278, 3536, 1554]"
539,images/cursive/huang-tingjian/DP-18548-024/29.jpg,邪,cursive,huang-tingjian,DP-18548-024,"[2571, 776, 2823, 1037]"
540,images/cursive/huang-tingjian/DP-18548-024/30.jpg,為,cursive,huang-tingjian,DP-18548-024,"[1478, 1523, 1738, 1779]"
545,images/cursive/huang-tingjian/DP-18548-024/35.jpg,趙,cursive,huang-tingjian,DP-18548-024,"[3284, 1542, 3508, 1761]"
546,images/cursive/huang-tingjian/DP-18548-024/36.jpg,秦,cursive,huang-tingjian,DP-18548-024,"[299, 1853, 538, 2095]"
547,images/cursive/huang-tingjian/DP-18548-024/37.jpg,廷,cursive,huang-tingjian,DP-18548-024,"[2217, 1046, 2470, 1296]"
548,images/cursive/huang-tingjian/DP-18548-024/38.jpg,使,cursive,huang-tingjian,DP-18548-024,"[1174, 1016, 1402, 1241]"
549,images/cursive/huang-tingjian/DP-18548-024/39.jpg,遇,cursive,huang-tingjian,DP-18548-024,"[3634, 1546, 3997, 1913]"
550,images/cursive/huang-tingjian/DP-18548-024/40.jpg,歸,cursive,huang-tingjian,DP-18548-024,"[3282, 1017, 3549, 1277]"
552,images/cursive/huang-tingjian/DP-18548-024/42.jpg,相,cursive,huang-tingjian,DP-18548-024,"[662, 1327, 889, 1532]"
553,images/cursive/huang-tingjian/DP-18548-024/43.jpg,夫,cursive,huang-tingjian,DP-18548-024,"[338, 773, 607, 1050]"
555,images/cursive/huang-tingjian/DP-18548-024/45.jpg,拜,cursive,huang-tingjian,DP-18548-024,"[683, 1099, 930, 1344]"
556,images/cursive/huang-tingjian/DP-18548-024/46.jpg,大,cursive,huang-tingjian,DP-18548-024,"[363, 1031, 610, 1272]"
559,images/cursive/huang-tingjian/DP-18548-024/49.jpg,因,cursive,huang-tingjian,DP-18548-024,"[3693, 781, 3986, 1076]"
560,images/cursive/huang-tingjian/DP-18548-024/50.jpg,相,cursive,huang-tingjian,DP-18548-024,"[2207, 1504, 2444, 1730]"
562,images/cursive/huang-tingjian/DP-18548-024/52.jpg,而,cursive,huang-tingjian,DP-18548-024,"[1955, 1038, 2165, 1242]"
563,images/cursive/huang-tingjian/DP-18548-024/53.jpg,為,cursive,huang-tingjian,DP-18548-024,"[656, 1756, 893, 1989]"
564,images/cursive/huang-tingjian/DP-18548-024/54.jpg,禮,cursive,huang-tingjian,DP-18548-024,"[1899, 766, 2182, 1057]"
565,images/cursive/huang-tingjian/DP-18548-024/55.jpg,夫,cursive,huang-tingjian,DP-18548-024,"[1150, 771, 1393, 1020]"
566,images/cursive/huang-tingjian/DP-18548-024/56.jpg,澠,cursive,huang-tingjian,DP-18548-024,"[20, 1187, 268, 1436]"
567,images/cursive/huang-tingjian/DP-18548-024/57.jpg,歸,cursive,huang-tingjian,DP-18548-024,"[1904, 1240, 2161, 1493]"
577,images/cursive/huang-tingjian/DP-18548-003/2.jpg,王,cursive,huang-tingjian,DP-18548-003,"[1908, 1899, 2156, 2108]"
593,images/cursive/huang-tingjian/DP-18548-003/18.jpg,惠,cursive,huang-tingjian,DP-18548-003,"[1931, 1459, 2177, 1676]"
596,images/cursive/huang-tingjian/DP-18548-003/21.jpg,伐,cursive,huang-tingjian,DP-18548-003,"[1132, 1616, 1453, 1909]"
597,images/cursive/huang-tingjian/DP-18548-003/22.jpg,者,cursive,huang-tingjian,DP-18548-003,"[2282, 1327, 2501, 1538]"
598,images/cursive/huang-tingjian/DP-18548-003/23.jpg,年,cursive,huang-tingjian,DP-18548-003,"[1528, 1174, 1833, 1491]"
602,images/cursive/huang-tingjian/DP-18548-003/27.jpg,文,cursive,huang-tingjian,DP-18548-003,"[1896, 1665, 2235, 1944]"
607,images/cursive/huang-tingjian/DP-18548-003/32.jpg,頗,cursive,huang-tingjian,DP-18548-003,"[1516, 1852, 1782, 2117]"
610,images/cursive/huang-tingjian/DP-18548-003/35.jpg,破,cursive,huang-tingjian,DP-18548-003,"[648, 1094, 979, 1421]"
611,images/cursive/huang-tingjian/DP-18548-003/36.jpg,廉,cursive,huang-tingjian,DP-18548-003,"[1508, 1501, 1829, 1826]"
612,images/cursive/huang-tingjian/DP-18548-003/37.jpg,頗,cursive,huang-tingjian,DP-18548-003,"[2260, 1133, 2492, 1357]"
628,images/cursive/huang-tingjian/DP-18548-020/14.jpg,王,cursive,huang-tingjian,DP-18548-020,"[2020, 1740, 2231, 1936]"
631,images/cursive/huang-tingjian/DP-18548-020/17.jpg,乃,cursive,huang-tingjian,DP-18548-020,"[1633, 1434, 1972, 1782]"
633,images/cursive/huang-tingjian/DP-18548-020/19.jpg,繆,cursive,huang-tingjian,DP-18548-020,"[212, 1685, 526, 1968]"
634,images/cursive/huang-tingjian/DP-18548-020/20.jpg,至,cursive,huang-tingjian,DP-18548-020,"[653, 1359, 858, 1568]"
